id,host_since,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_listing_count,price,property_type_0,property_type_1,property_type_2,property_type_3,property_type_4,property_type_5,room_type_0,room_type_1,room_type_2,bed_type_0,bed_type_1,bed_type_2,bed_type_3,bed_type_4
672616,1702,10024.0,40.7831962,-73.97784602,2,1.0,1.0,1.0,1,5,1125,0,0,0,118,3,1721.0,2370.0,98.0,10.0,10.0,9.0,10.0,10.0,10.0,1,195,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4250746,2466,11221.0,40.69271083,-73.92535011,5,1.0,2.0,3.0,4,3,1125,29,59,89,364,5,2482.0,2539.0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,1,170,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
531208,1610,11211.0,40.70762077,-73.96763822,3,1.0,1.0,1.0,2,2,15,30,60,90,355,11,1687.0,2380.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1,450,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1346501,1683,10014.0,40.73303812,-74.00478644,4,1.0,2.0,2.0,1,1,1125,9,9,9,224,2,2048.0,2198.0,96.0,10.0,8.0,10.0,10.0,10.0,9.0,1,300,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3457987,2371,10003.0,40.73101615,-73.9931823,3,1.0,1.0,1.0,2,2,1125,30,60,90,365,4,2433.0,2533.0,90.0,9.0,9.0,10.0,10.0,10.0,7.0,1,369,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
560075,1638,10016.0,40.74825354,-73.97154998,2,1.0,1.0,1.0,1,1,1125,30,60,90,365,12,1738.0,2529.0,95.0,9.0,8.0,10.0,10.0,10.0,9.0,3,118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3849812,1871,10039.0,40.8249946,-73.94238358,2,1.0,1.0,2.0,1,1,1125,30,60,90,365,4,2469.0,2489.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
799319,1295,11205.0,40.69075031,-73.97192375,3,1.0,1.0,2.0,1,1,1125,30,60,90,365,30,1813.0,2543.0,90.0,8.0,9.0,9.0,9.0,10.0,9.0,1,133,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
335778,1497,11222.0,40.72547998,-73.9461794,2,1.0,1.0,1.0,1,1,8,0,8,9,284,6,2071.0,2461.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,169,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54486,1010,11233.0,40.6729217,-73.91307535,1,2.0,1.0,1.0,1,2,180,5,5,5,274,54,1070.0,2514.0,94.0,10.0,9.0,10.0,10.0,8.0,9.0,3,50,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
729214,1741,11222.0,40.72649204,-73.95519709,2,1.0,2.0,1.0,1,5,1125,16,46,76,351,5,1763.0,2501.0,100.0,10.0,9.0,10.0,9.0,10.0,9.0,1,142,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4585985,2073,11211.0,40.71575479,-73.95573829,2,1.0,1.0,1.0,2,1,1125,0,0,0,28,1,2551.0,2551.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1198681,1896,10027.0,40.80500437,-73.94483503,4,1.5,2.0,2.0,2,7,31,28,43,73,346,3,2012.0,2535.0,100.0,9.0,9.0,10.0,10.0,9.0,9.0,1,125,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
144428,1260,10022.0,40.75444261,-73.96906688,2,1.0,1.0,1.0,1,2,35,12,26,56,331,36,1306.0,2543.0,90.0,9.0,9.0,9.0,9.0,10.0,9.0,1,175,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1313258,1605,11211.0,40.71134392,-73.96052811,2,1.0,1.0,1.0,2,3,21,30,60,90,365,33,2026.0,2512.0,95.0,10.0,9.0,9.0,9.0,10.0,9.0,1,85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1979502,2149,10037.0,40.81091778,-73.94073536,3,1.0,1.0,2.0,1,3,7,30,60,90,365,1,2194.0,2194.0,97.0,10.0,10.0,10.0,10.0,8.0,10.0,1,195,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
449680,1517,10455.0,40.81610845,-73.89909446,5,1.0,2.0,2.0,2,3,365,28,58,88,363,23,1648.0,2533.0,93.0,10.0,9.0,9.0,10.0,8.0,10.0,1,120,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1960489,1772,11249.0,40.71287167,-73.96433632,2,1.0,1.0,1.0,1,1,1500,10,13,43,310,32,2154.0,2555.0,89.0,9.0,9.0,9.0,9.0,9.0,9.0,8,100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2694583,1908,11206.0,40.69774736,-73.93389232,2,1.0,0.0,1.0,1,2,7,12,42,72,347,3,2477.0,2542.0,90.0,10.0,8.0,10.0,10.0,9.0,7.0,1,85,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1193712,1953,11211.0,40.71143959,-73.96160924,2,1.0,1.0,1.0,1,1,93,10,10,19,294,21,2088.0,2542.0,96.0,9.0,10.0,10.0,10.0,10.0,9.0,2,110,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
